bert-base-uncased	{'CR': {'devacc': 86.73, 'acc': 86.65, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 81.88, 'acc': 81.94, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 87.78, 'acc': 87.96, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 95.34, 'acc': 95.7, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 85.78, 'acc': 86.66, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 46.05, 'acc': 45.84, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-80	{'CR': {'devacc': 84.15, 'acc': 83.79, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 78.58, 'acc': 78.78, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 87.93, 'acc': 88.27, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 94.34, 'acc': 94.36, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 83.26, 'acc': 84.29, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 44.69, 'acc': 43.85, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-160	{'CR': {'devacc': 84.51, 'acc': 84.5, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 78.43, 'acc': 78.96, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 86.56, 'acc': 86.63, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 94.3, 'acc': 94.26, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 82.8, 'acc': 83.42, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 44.32, 'acc': 45.84, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-240	{'CR': {'devacc': 81.92, 'acc': 82.2, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 76.71, 'acc': 77.2, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 85.79, 'acc': 86.01, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 93.15, 'acc': 93.56, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 81.54, 'acc': 80.72, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 42.78, 'acc': 43.3, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-320	{'CR': {'devacc': 82.16, 'acc': 82.12, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 75.97, 'acc': 76.19, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 85.54, 'acc': 85.76, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 92.74, 'acc': 92.85, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 82.68, 'acc': 81.27, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 44.5, 'acc': 42.85, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-400	{'CR': {'devacc': 80.44, 'acc': 81.06, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 75.15, 'acc': 75.89, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 85.39, 'acc': 85.27, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 92.74, 'acc': 92.98, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 79.82, 'acc': 79.63, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 42.6, 'acc': 42.58, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-480	{'CR': {'devacc': 80.58, 'acc': 81.14, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 73.48, 'acc': 73.98, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 85.73, 'acc': 85.9, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 92.43, 'acc': 92.54, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 78.21, 'acc': 78.03, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 40.24, 'acc': 41.49, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-560	{'CR': {'devacc': 78.0, 'acc': 78.83, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 73.63, 'acc': 73.65, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 83.54, 'acc': 84.29, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 91.87, 'acc': 92.22, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 79.24, 'acc': 77.54, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 41.6, 'acc': 39.55, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-640	{'CR': {'devacc': 79.12, 'acc': 79.73, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 73.07, 'acc': 73.55, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 85.78, 'acc': 85.79, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 91.64, 'acc': 91.65, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 79.59, 'acc': 79.9, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 39.69, 'acc': 41.09, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-720	{'CR': {'devacc': 80.34, 'acc': 80.21, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 73.95, 'acc': 74.46, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 86.33, 'acc': 86.97, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 92.41, 'acc': 92.72, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 78.1, 'acc': 78.36, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 41.78, 'acc': 40.95, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-800	{'CR': {'devacc': 80.49, 'acc': 79.81, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 73.55, 'acc': 73.74, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 86.25, 'acc': 86.71, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 92.29, 'acc': 92.59, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 79.47, 'acc': 78.69, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 42.23, 'acc': 40.18, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-880	{'CR': {'devacc': 79.03, 'acc': 79.6, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 72.62, 'acc': 73.49, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 85.49, 'acc': 85.97, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 91.29, 'acc': 91.75, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 79.01, 'acc': 76.5, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 41.78, 'acc': 39.37, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-960	{'CR': {'devacc': 78.4, 'acc': 79.71, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 72.37, 'acc': 72.77, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.84, 'acc': 85.24, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 91.84, 'acc': 91.83, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 76.95, 'acc': 77.32, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 41.33, 'acc': 40.27, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-1040	{'CR': {'devacc': 78.91, 'acc': 79.02, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 72.62, 'acc': 72.95, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 85.27, 'acc': 85.83, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 91.42, 'acc': 91.74, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 76.38, 'acc': 76.61, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 41.14, 'acc': 39.32, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-1120	{'CR': {'devacc': 77.67, 'acc': 78.2, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 72.4, 'acc': 72.41, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 85.41, 'acc': 85.68, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 91.67, 'acc': 92.0, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 76.72, 'acc': 76.5, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 38.87, 'acc': 38.1, 'ndev': 1101, 'ntest': 2210}}
