label,text
1,my little gamer liked the headsets easy on the pocketbook 
1,super comfy and cool but get disconnected easily 
0,i was looking for low profile keyboard wireless and with large enter key this keyboard fits the bill 
0,you have to press down very hard on the mouse it gets very annoying wish still had the box return it
0,they are of quality construction and withstand the constant on off very good product 
0,it stopped working after about weeks even after being fully charged 
0,the mouse does not hold charge it goes dead within hours 
1,the headset feels nice and sounds pretty good for the price my one complaint is the mic is not flexible at all and comes off as pretty quiet 
1,pros significantly cheaper backlit keys rechargeable looks good sturdycons off brand name keys feel little plasticy battery life is little light not bad just don expect it to last for weeks without charging that it ve had two now after many logitech backlit wireless keyboards and for half the price or less can safely safe that logitech the big name is absolute garbage in comparison 
0,works great sleeps and comes out of sleep easily colorfully not too bright to be distraction 
0,no quality
1,microphone did not work fo ps fortnite game but worked for everything else lights were cool and it was comfortable but can use it for what need it for 
1,this product was little disappointing to be honest for one wish had paid attention to the fact that this is not wireless second the lights don come on with mic jack which sure it wouldn make sense to but it really should have just been usb with an adaptor otherwise if you don care about lights it works fine say it better suited for pc gaming since usually there mic jack next to usb port but not for consoles its not the worst just the sound quality is kind of minimal it doesn play music too well it can get loud but then the sound gets shrill amd will induce headach truthfully wouldn buy this again 
0,i bought these about month ago they are already cutting out and fuzzy and in fact were doing so merely few days into my purchase do not recommend how this headset has such high ratings is beyond me 
0,didn work 
0,i going back to basic and battery operated lost charge at inconvenient times then started being temperamental on taking charge now it won take charge at all worthless to me waste of time and money 
0,a very nice upgrade and replacement mouse with no cords and no batteries perfect 
1,iupdated returned and bought another as really liked the way it fit my hand etc the first one didn get charged til it was out and then wouldn recharge after it died ve plugged this one to charge more frequently and am happy to keep it not going to let it die cuz don want to suffer finding out it design flaw on the other hand could have just been the one first bought am so disappointed received my pretty mouse charged it and love it fits my small hands no clicking sounds easy to use received it around july today is july and the cursor won work hadn charged it so plugged it in to charge the wheel still works but the clicker won work when press it nothing happens would exchange it for new one but then don have many days left to see if it works and really don want to take chance on losing my money these mice seem to work great for some and don work for some may figure out which credit card gives year warranty beyond the normal one which is non existent at least could try again 
1,this headset is beautiful slick and comfortable it does its job with beautiful sound and quality gaming 
0,normal daily use for few weeks scroller suddenly caved in today and stopped working positive reviews must be from people who haven owned it for long or mine was just damaged during shipping nevertheless honestly didn know computer mice could even break returning 
1,i have been using this with my work laptop which use hours daily for remote work ve had this for few weeks and only needed to charge once since then really love the feel of it it near silent and very soft click sound when using buttons like the look of it and the lights so know when it in sleep mode turns on and immediately works with one click completely operational when plugged in to charge as well the charge cord is very short but plugged into the laptop to charge it and it was long enough for me to use it right next to the usb port it was plugged into without being nuisance would love for there to be way to see the battery life on the mouse it the only thing would change add very pleased and hope it lasts long while update this mouse is still going strong still love it use it daily for work day days week still love the lights lol my one and only complaint wish we could see the battery life of the mouse have been charging one every couple of weeks just to be safe hate the laptop mouse it does work when plugged in and charging tho so that is nice just prefer wireless im not knocking off stars due to this at all just offering suggestion to somehow let us see the battery life remaining 
1,decent headphones my sons both have ordered pair and while they generally work pretty well they have had few hangups with them while playing games sometimes they have to be plugged and unplugged couple times before the sound works and sometimes it just doesn seem to want to work at all and yes the volume is up but overall they work about of the time and they were pretty cheap so 
0,it worked fine until it quit one day can really complain because of the price but going to to try something else to replace it 
0,i was looking for simple black led mouse for work and this one is exactly what was looking for it works great and have had no issues yet due to the size it can be little uncomfortable if you are doing lot of work using the mouse for an extended amount of time but this has only happened to me once 
1,i used this headset for my ps works great for chat very clear to listen to cancels out background noise 
1,nice mouse worked great for my needs glides smooth holds charge well 
1,the jbl is really good speaker it surpasses my expectations and it has great sound quality with phone settings you can switch up the sound to your satisfaction am impressed with the tracking too love this product and will continue to use amazon for most purchases overall would absolutely recommend this product to others but make sure you have the right charger and buy case for it so it easy to carry around
0,it deserves stars for not working can hear my game at all super uncomfortable too expensive to not work
1,ordered this for my new laptop works like charm includes charging cable adapter and usb receiver that can be stored in the bottom of the mouse the colors light up very nicely and customer support was lovely contacted them about activating warranty my only issue with this mouse is the shape which was more flat than the mice used to using but that is just personal preference and got used to it very quickly overall great product 
1,great headphones for the xbox husband loved them
0,i like the sound the power button is hard to push it 
0,i bought jbl charge in came with an extra long usb cord and power brick now you get measly ft long cable
1,sound is great but it not the most comfortable it also little big it works well with great with xbox one controller 
1,so cute and ergonomic holds the charge really well probably due to its auto sleep mode and works like charm 
0,worked great after first charge then became choppy and uncontrollable very disappointed in this mouse 
1,i have this same model in bluetooth and it works great needed it for an old yoga win laptop no issues and works great
0,tried to return it today will not hold charge requires different charging cord than iphone cost to much for how bad product is plus ordered protective carrying case separate would not ever purchase again just ordered new bose waterproof speaker 
1,very nice work done on these speakers the sound is rich and beautiful the bass function is amazing it last long the battery charge indicator is perfect and very useful these speakes las very long on single charge the only thing is little uncomfortable is the portability it big and heavy and no handles you will have to buy carrying case separately it too big for easy portability but overall am very satisfied with this device am buying two next time gave this one to granma next time will buy two to pair up it worthy very amazing sound 
1,product worked well until it didn after months won charge or power on 
0,they are too small they are uncomfortable minutes after you try them on
1,love these
1,if you want cheap light up mouse then get this one when it on sale definitely not worth the price otherwise it very quiet and slim but that about where the benefits outweigh the cost the actual lighting is not what advertised it actually pretty dim even in dark room beyond that whenever you move the mouse the red laser at the bottom for tracking movement lights up the whole mouse taking over the other colors being displayed additionally with the hour charge time and the usb needed for connectivity you be better off buying nicer mouse for the same price
